frequency	V(inoise)
2.951209226666375e+00	7.061562e-09
3.019951720402005e+00	6.988261e-09
3.090295432513579e+00	6.915877e-09
3.162277660168367e+00	6.844401e-09
3.235936569296270e+00	6.773824e-09
3.311311214825898e+00	6.704135e-09
3.388441561392012e+00	6.635326e-09
3.467368504525302e+00	6.567386e-09
3.548133892335740e+00	6.500307e-09
3.630780547700999e+00	6.434079e-09
3.715352290971710e+00	6.368694e-09
3.801893963205597e+00	6.304141e-09
3.890451449942790e+00	6.240414e-09
3.981071705534956e+00	6.177501e-09
4.073802778041110e+00	6.115395e-09
4.168693834703337e+00	6.054087e-09
4.265795188015909e+00	5.993570e-09
4.365158322401641e+00	5.933833e-09
4.466835921509612e+00	5.874869e-09
4.570881896148731e+00	5.816671e-09
4.677351412871962e+00	5.759229e-09
4.786300923226363e+00	5.702535e-09
4.897788193684440e+00	5.646582e-09
5.011872336272701e+00	5.591362e-09
5.128613839913625e+00	5.536866e-09
5.248074602497702e+00	5.483088e-09
5.370317963702503e+00	5.430019e-09
5.495408738576220e+00	5.377653e-09
5.623413251903465e+00	5.325981e-09
5.754399373371542e+00	5.274996e-09
5.888436553555861e+00	5.224691e-09
6.025595860743548e+00	5.175059e-09
6.165950018614792e+00	5.126092e-09
6.309573444801902e+00	5.077784e-09
6.456542290346524e+00	5.030127e-09
6.606934480075928e+00	4.983115e-09
6.760829753919785e+00	4.936740e-09
6.918309709189331e+00	4.890997e-09
7.079457843841344e+00	4.845877e-09
7.244359600749864e+00	4.801375e-09
7.413102413009137e+00	4.757483e-09
7.585775750291798e+00	4.714196e-09
7.762471166286877e+00	4.671507e-09
7.943282347242774e+00	4.629409e-09
8.128305161640951e+00	4.587896e-09
8.317637711026666e+00	4.546962e-09
8.511380382023720e+00	4.506601e-09
8.709635899560761e+00	4.466806e-09
8.912509381337408e+00	4.427571e-09
9.120108393559049e+00	4.388891e-09
9.332543007969861e+00	4.350758e-09
9.549925860214309e+00	4.313168e-09
9.772372209558055e+00	4.276115e-09
9.999999999999947e+00	4.239592e-09
1.023292992280749e+01	4.203594e-09
1.047128548050894e+01	4.168115e-09
1.071519305237601e+01	4.133149e-09
1.096478196143179e+01	4.098691e-09
1.122018454301957e+01	4.064736e-09
1.148153621496876e+01	4.031276e-09
1.174897554939523e+01	3.998308e-09
1.202264434617406e+01	3.965826e-09
1.230268770812375e+01	3.933824e-09
1.258925411794160e+01	3.902297e-09
1.288249551693127e+01	3.871239e-09
1.318256738556400e+01	3.840646e-09
1.348962882591646e+01	3.810512e-09
1.380384264602877e+01	3.780832e-09
1.412537544622746e+01	3.751600e-09
1.445439770745919e+01	3.722812e-09
1.479108388168199e+01	3.694463e-09
1.513561248436199e+01	3.666547e-09
1.548816618912472e+01	3.639060e-09
1.584893192461104e+01	3.611997e-09
1.621810097358920e+01	3.585352e-09
1.659586907437550e+01	3.559121e-09
1.698243652461734e+01	3.533299e-09
1.737800828749365e+01	3.507881e-09
1.778279410038911e+01	3.482862e-09
1.819700858609972e+01	3.458238e-09
1.862087136662855e+01	3.434004e-09
1.905460717963235e+01	3.410155e-09
1.949844599758032e+01	3.386687e-09
1.995262314968866e+01	3.363595e-09
2.041737944669515e+01	3.340874e-09
2.089296130854025e+01	3.318521e-09
2.137962089502217e+01	3.296529e-09
2.187761623949537e+01	3.274896e-09
2.238721138568324e+01	3.253616e-09
2.290867652767757e+01	3.232685e-09
2.344228815319906e+01	3.212099e-09
2.398832919019474e+01	3.191853e-09
2.454708915685013e+01	3.171943e-09
2.511886431509562e+01	3.152364e-09
2.570395782768846e+01	3.133114e-09
2.630267991895363e+01	3.114186e-09
2.691534803926897e+01	3.095578e-09
2.754228703338147e+01	3.077284e-09
2.818382931264434e+01	3.059301e-09
2.884031503126585e+01	3.041625e-09
2.951209226666364e+01	3.024251e-09
3.019951720401994e+01	3.007176e-09
3.090295432513568e+01	2.990395e-09
3.162277660168356e+01	2.973905e-09
3.235936569296258e+01	2.957701e-09
3.311311214825886e+01	2.941780e-09
3.388441561392000e+01	2.926138e-09
3.467368504525290e+01	2.910771e-09
3.548133892335728e+01	2.895674e-09
3.630780547700986e+01	2.880845e-09
3.715352290971697e+01	2.866279e-09
3.801893963205583e+01	2.851973e-09
3.890451449942775e+01	2.837923e-09
3.981071705534941e+01	2.824125e-09
4.073802778041095e+01	2.810576e-09
4.168693834703321e+01	2.797271e-09
4.265795188015893e+01	2.784208e-09
4.365158322401625e+01	2.771384e-09
4.466835921509595e+01	2.758793e-09
4.570881896148713e+01	2.746433e-09
4.677351412871944e+01	2.734301e-09
4.786300923226344e+01	2.722392e-09
4.897788193684422e+01	2.710704e-09
5.011872336272682e+01	2.699234e-09
5.128613839913606e+01	2.687977e-09
5.248074602497682e+01	2.676930e-09
5.370317963702482e+01	2.666091e-09
5.495408738576199e+01	2.655455e-09
5.623413251903443e+01	2.645021e-09
5.754399373371520e+01	2.634784e-09
5.888436553555839e+01	2.624742e-09
6.025595860743526e+01	2.614891e-09
6.165950018614769e+01	2.605228e-09
6.309573444801878e+01	2.595750e-09
6.456542290346499e+01	2.586455e-09
6.606934480075903e+01	2.577338e-09
6.760829753919759e+01	2.568398e-09
6.918309709189305e+01	2.559632e-09
7.079457843841317e+01	2.551035e-09
7.244359600749837e+01	2.542607e-09
7.413102413009111e+01	2.534343e-09
7.585775750291771e+01	2.526241e-09
7.762471166286849e+01	2.518298e-09
7.943282347242744e+01	2.510512e-09
8.128305161640920e+01	2.502880e-09
8.317637711026636e+01	2.495399e-09
8.511380382023688e+01	2.488066e-09
8.709635899560728e+01	2.480880e-09
8.912509381337374e+01	2.473837e-09
9.120108393559013e+01	2.466934e-09
9.332543007969824e+01	2.460171e-09
9.549925860214270e+01	2.453542e-09
9.772372209558016e+01	2.447048e-09
9.999999999999906e+01	2.440685e-09
1.023292992280744e+02	2.434450e-09
1.047128548050890e+02	2.428342e-09
1.071519305237596e+02	2.422359e-09
1.096478196143175e+02	2.416497e-09
1.122018454301953e+02	2.410754e-09
1.148153621496872e+02	2.405129e-09
1.174897554939518e+02	2.399620e-09
1.202264434617401e+02	2.394224e-09
1.230268770812370e+02	2.388938e-09
1.258925411794155e+02	2.383762e-09
1.288249551693121e+02	2.378693e-09
1.318256738556394e+02	2.373728e-09
1.348962882591640e+02	2.368867e-09
1.380384264602871e+02	2.364106e-09
1.412537544622740e+02	2.359445e-09
1.445439770745913e+02	2.354881e-09
1.479108388168193e+02	2.350412e-09
1.513561248436193e+02	2.346036e-09
1.548816618912466e+02	2.341753e-09
1.584893192461097e+02	2.337559e-09
1.621810097358913e+02	2.333453e-09
1.659586907437543e+02	2.329434e-09
1.698243652461726e+02	2.325500e-09
1.737800828749357e+02	2.321648e-09
1.778279410038904e+02	2.317879e-09
1.819700858609964e+02	2.314189e-09
1.862087136662848e+02	2.310577e-09
1.905460717963227e+02	2.307043e-09
1.949844599758025e+02	2.303583e-09
1.995262314968859e+02	2.300197e-09
2.041737944669508e+02	2.296883e-09
2.089296130854017e+02	2.293641e-09
2.137962089502209e+02	2.290467e-09
2.187761623949529e+02	2.287362e-09
2.238721138568316e+02	2.284323e-09
2.290867652767749e+02	2.281349e-09
2.344228815319897e+02	2.278439e-09
2.398832919019465e+02	2.275593e-09
2.454708915685004e+02	2.272807e-09
2.511886431509553e+02	2.270081e-09
2.570395782768836e+02	2.267415e-09
2.630267991895354e+02	2.264806e-09
2.691534803926887e+02	2.262253e-09
2.754228703338136e+02	2.259756e-09
2.818382931264423e+02	2.257313e-09
2.884031503126574e+02	2.254923e-09
2.951209226666354e+02	2.252585e-09
3.019951720401983e+02	2.250298e-09
3.090295432513557e+02	2.248060e-09
3.162277660168345e+02	2.245872e-09
3.235936569296247e+02	2.243731e-09
3.311311214825874e+02	2.241637e-09
3.388441561391988e+02	2.239589e-09
3.467368504525278e+02	2.237585e-09
3.548133892335715e+02	2.235626e-09
3.630780547700973e+02	2.233709e-09
3.715352290971684e+02	2.231834e-09
3.801893963205569e+02	2.230001e-09
3.890451449942762e+02	2.228208e-09
3.981071705534927e+02	2.226454e-09
4.073802778041081e+02	2.224739e-09
4.168693834703306e+02	2.223061e-09
4.265795188015877e+02	2.221421e-09
4.365158322401609e+02	2.219817e-09
4.466835921509579e+02	2.218248e-09
4.570881896148697e+02	2.216713e-09
4.677351412871927e+02	2.215213e-09
4.786300923226327e+02	2.213746e-09
4.897788193684405e+02	2.212311e-09
5.011872336272664e+02	2.210908e-09
5.128613839913588e+02	2.209536e-09
5.248074602497665e+02	2.208195e-09
5.370317963702464e+02	2.206883e-09
5.495408738576181e+02	2.205600e-09
5.623413251903424e+02	2.204346e-09
5.754399373371501e+02	2.203120e-09
5.888436553555820e+02	2.201921e-09
6.025595860743506e+02	2.200748e-09
6.165950018614748e+02	2.199602e-09
6.309573444801856e+02	2.198481e-09
6.456542290346476e+02	2.197386e-09
6.606934480075879e+02	2.196314e-09
6.760829753919735e+02	2.195267e-09
6.918309709189280e+02	2.194243e-09
7.079457843841292e+02	2.193241e-09
7.244359600749812e+02	2.192262e-09
7.413102413009084e+02	2.191305e-09
7.585775750291745e+02	2.190369e-09
7.762471166286822e+02	2.189455e-09
7.943282347242717e+02	2.188560e-09
8.128305161640892e+02	2.187686e-09
8.317637711026607e+02	2.186831e-09
8.511380382023659e+02	2.185996e-09
8.709635899560698e+02	2.185179e-09
8.912509381337344e+02	2.184380e-09
9.120108393558983e+02	2.183599e-09
9.332543007969792e+02	2.182836e-09
9.549925860214238e+02	2.182090e-09
9.772372209557982e+02	2.181360e-09
9.999999999999872e+02	2.180647e-09
1.023292992280741e+03	2.179950e-09
1.047128548050886e+03	2.179269e-09
1.071519305237592e+03	2.178603e-09
1.096478196143171e+03	2.177952e-09
1.122018454301949e+03	2.177315e-09
1.148153621496868e+03	2.176693e-09
1.174897554939514e+03	2.176085e-09
1.202264434617397e+03	2.175491e-09
1.230268770812365e+03	2.174910e-09
1.258925411794150e+03	2.174342e-09
1.288249551693117e+03	2.173786e-09
1.318256738556389e+03	2.173244e-09
1.348962882591635e+03	2.172713e-09
1.380384264602866e+03	2.172194e-09
1.412537544622735e+03	2.171687e-09
1.445439770745908e+03	2.171192e-09
1.479108388168187e+03	2.170708e-09
1.513561248436187e+03	2.170234e-09
1.548816618912460e+03	2.169772e-09
1.584893192461092e+03	2.169320e-09
1.621810097358908e+03	2.168878e-09
1.659586907437538e+03	2.168445e-09
1.698243652461721e+03	2.168023e-09
1.737800828749352e+03	2.167610e-09
1.778279410038899e+03	2.167207e-09
1.819700858609958e+03	2.166813e-09
1.862087136662842e+03	2.166427e-09
1.905460717963221e+03	2.166050e-09
1.949844599758018e+03	2.165682e-09
1.995262314968852e+03	2.165322e-09
2.041737944669501e+03	2.164970e-09
2.089296130854011e+03	2.164626e-09
2.137962089502203e+03	2.164291e-09
2.187761623949522e+03	2.163962e-09
2.238721138568309e+03	2.163641e-09
2.290867652767741e+03	2.163327e-09
2.344228815319890e+03	2.163020e-09
2.398832919019457e+03	2.162721e-09
2.454708915684996e+03	2.162428e-09
2.511886431509545e+03	2.162142e-09
2.570395782768828e+03	2.161862e-09
2.630267991895345e+03	2.161588e-09
2.691534803926878e+03	2.161321e-09
2.754228703338128e+03	2.161060e-09
2.818382931264414e+03	2.160804e-09
2.884031503126565e+03	2.160555e-09
2.951209226666344e+03	2.160311e-09
3.019951720401973e+03	2.160073e-09
3.090295432513546e+03	2.159839e-09
3.162277660168334e+03	2.159612e-09
3.235936569296236e+03	2.159389e-09
3.311311214825863e+03	2.159172e-09
3.388441561391976e+03	2.158959e-09
3.467368504525266e+03	2.158751e-09
3.548133892335703e+03	2.158548e-09
3.630780547700960e+03	2.158350e-09
3.715352290971671e+03	2.158156e-09
3.801893963205556e+03	2.157966e-09
3.890451449942748e+03	2.157781e-09
3.981071705534913e+03	2.157600e-09
4.073802778041067e+03	2.157423e-09
4.168693834703292e+03	2.157250e-09
4.265795188015863e+03	2.157081e-09
4.365158322401594e+03	2.156916e-09
4.466835921509563e+03	2.156755e-09
4.570881896148680e+03	2.156597e-09
4.677351412871911e+03	2.156443e-09
4.786300923226310e+03	2.156292e-09
4.897788193684387e+03	2.156145e-09
5.011872336272646e+03	2.156001e-09
5.128613839913570e+03	2.155860e-09
5.248074602497645e+03	2.155723e-09
5.370317963702444e+03	2.155589e-09
5.495408738576160e+03	2.155457e-09
5.623413251903404e+03	2.155329e-09
5.754399373371480e+03	2.155204e-09
5.888436553555798e+03	2.155081e-09
6.025595860743483e+03	2.154961e-09
6.165950018614725e+03	2.154844e-09
6.309573444801834e+03	2.154730e-09
6.456542290346454e+03	2.154618e-09
6.606934480075856e+03	2.154509e-09
6.760829753919711e+03	2.154402e-09
6.918309709189256e+03	2.154298e-09
7.079457843841267e+03	2.154196e-09
7.244359600749786e+03	2.154096e-09
7.413102413009058e+03	2.153999e-09
7.585775750291717e+03	2.153904e-09
7.762471166286794e+03	2.153811e-09
7.943282347242689e+03	2.153720e-09
8.128305161640863e+03	2.153631e-09
8.317637711026577e+03	2.153544e-09
8.511380382023628e+03	2.153459e-09
8.709635899560666e+03	2.153376e-09
8.912509381337311e+03	2.153295e-09
9.120108393558950e+03	2.153216e-09
9.332543007969760e+03	2.153139e-09
9.549925860214205e+03	2.153063e-09
9.772372209557949e+03	2.152989e-09
1.000000000000000e+04	2.152917e-09
