frequency	V(onoise)
7.079457843841367e-01	1.640169e-08
7.244359600749888e-01	1.621394e-08
7.413102413009162e-01	1.602834e-08
7.585775750291823e-01	1.584487e-08
7.762471166286903e-01	1.566349e-08
7.943282347242799e-01	1.548420e-08
8.128305161640976e-01	1.530695e-08
8.317637711026693e-01	1.513173e-08
8.511380382023747e-01	1.495852e-08
8.709635899560788e-01	1.478729e-08
8.912509381337437e-01	1.461802e-08
9.120108393559078e-01	1.445069e-08
9.332543007969890e-01	1.428528e-08
9.549925860214339e-01	1.412175e-08
9.772372209558086e-01	1.396010e-08
9.999999999999978e-01	1.380030e-08
1.023292992280752e+00	1.364233e-08
1.047128548050897e+00	1.348617e-08
1.071519305237604e+00	1.333180e-08
1.096478196143182e+00	1.317919e-08
1.122018454301961e+00	1.302833e-08
1.148153621496880e+00	1.287919e-08
1.174897554939527e+00	1.273177e-08
1.202264434617410e+00	1.258603e-08
1.230268770812378e+00	1.244196e-08
1.258925411794164e+00	1.229953e-08
1.288249551693130e+00	1.215874e-08
1.318256738556403e+00	1.201956e-08
1.348962882591650e+00	1.188198e-08
1.380384264602881e+00	1.174596e-08
1.412537544622750e+00	1.161151e-08
1.445439770745923e+00	1.147859e-08
1.479108388168203e+00	1.134720e-08
1.513561248436204e+00	1.121731e-08
1.548816618912477e+00	1.108890e-08
1.584893192461108e+00	1.096197e-08
1.621810097358925e+00	1.083649e-08
1.659586907437555e+00	1.071245e-08
1.698243652461739e+00	1.058982e-08
1.737800828749370e+00	1.046860e-08
1.778279410038917e+00	1.034877e-08
1.819700858609977e+00	1.023031e-08
1.862087136662861e+00	1.011320e-08
1.905460717963241e+00	9.997436e-09
1.949844599758039e+00	9.882997e-09
1.995262314968873e+00	9.769867e-09
2.041737944669523e+00	9.658032e-09
2.089296130854033e+00	9.547477e-09
2.137962089502225e+00	9.438188e-09
2.187761623949545e+00	9.330150e-09
2.238721138568332e+00	9.223349e-09
2.290867652767766e+00	9.117770e-09
2.344228815319914e+00	9.013400e-09
2.398832919019482e+00	8.910225e-09
2.454708915685022e+00	8.808230e-09
2.511886431509572e+00	8.707403e-09
2.570395782768855e+00	8.607730e-09
2.630267991895373e+00	8.509198e-09
2.691534803926906e+00	8.411794e-09
2.754228703338157e+00	8.315505e-09
2.818382931264444e+00	8.220319e-09
2.884031503126595e+00	8.126221e-09
2.951209226666375e+00	8.033201e-09
3.019951720402005e+00	7.941246e-09
3.090295432513579e+00	7.850343e-09
3.162277660168367e+00	7.760481e-09
3.235936569296270e+00	7.671647e-09
3.311311214825898e+00	7.583830e-09
3.388441561392012e+00	7.497019e-09
3.467368504525302e+00	7.411202e-09
3.548133892335740e+00	7.326367e-09
3.630780547700999e+00	7.242502e-09
3.715352290971710e+00	7.159598e-09
3.801893963205597e+00	7.077643e-09
3.890451449942790e+00	6.996626e-09
3.981071705534956e+00	6.916536e-09
4.073802778041110e+00	6.837363e-09
4.168693834703337e+00	6.759096e-09
4.265795188015909e+00	6.681725e-09
4.365158322401641e+00	6.605240e-09
4.466835921509612e+00	6.529631e-09
4.570881896148731e+00	6.454887e-09
4.677351412871962e+00	6.380998e-09
4.786300923226363e+00	6.307955e-09
4.897788193684440e+00	6.235749e-09
5.011872336272701e+00	6.164369e-09
5.128613839913625e+00	6.093806e-09
5.248074602497702e+00	6.024051e-09
5.370317963702503e+00	5.955094e-09
5.495408738576220e+00	5.886927e-09
5.623413251903465e+00	5.819540e-09
5.754399373371542e+00	5.752924e-09
5.888436553555861e+00	5.687071e-09
6.025595860743548e+00	5.621971e-09
6.165950018614792e+00	5.557617e-09
6.309573444801902e+00	5.494000e-09
6.456542290346524e+00	5.431111e-09
6.606934480075928e+00	5.368941e-09
6.760829753919785e+00	5.307483e-09
6.918309709189331e+00	5.246729e-09
7.079457843841344e+00	5.186670e-09
7.244359600749864e+00	5.127299e-09
7.413102413009137e+00	5.068607e-09
7.585775750291798e+00	5.010588e-09
7.762471166286877e+00	4.953232e-09
7.943282347242774e+00	4.896533e-09
8.128305161640951e+00	4.840482e-09
8.317637711026666e+00	4.785074e-09
8.511380382023720e+00	4.730299e-09
8.709635899560761e+00	4.676152e-09
8.912509381337408e+00	4.622625e-09
9.120108393559049e+00	4.569710e-09
9.332543007969861e+00	4.517401e-09
9.549925860214309e+00	4.465690e-09
9.772372209558055e+00	4.414572e-09
9.999999999999947e+00	4.364039e-09
1.023292992280749e+01	4.314084e-09
1.047128548050894e+01	4.264701e-09
1.071519305237601e+01	4.215884e-09
1.096478196143179e+01	4.167625e-09
1.122018454301957e+01	4.119919e-09
1.148153621496876e+01	4.072758e-09
1.174897554939523e+01	4.026138e-09
1.202264434617406e+01	3.980051e-09
1.230268770812375e+01	3.934492e-09
1.258925411794160e+01	3.889454e-09
1.288249551693127e+01	3.844932e-09
1.318256738556400e+01	3.800919e-09
1.348962882591646e+01	3.757410e-09
1.380384264602877e+01	3.714400e-09
1.412537544622746e+01	3.671881e-09
1.445439770745919e+01	3.629850e-09
1.479108388168199e+01	3.588299e-09
1.513561248436199e+01	3.547224e-09
1.548816618912472e+01	3.506619e-09
1.584893192461104e+01	3.466480e-09
1.621810097358920e+01	3.426799e-09
1.659586907437550e+01	3.387573e-09
1.698243652461734e+01	3.348795e-09
1.737800828749365e+01	3.310462e-09
1.778279410038911e+01	3.272568e-09
1.819700858609972e+01	3.235107e-09
1.862087136662855e+01	3.198075e-09
1.905460717963235e+01	3.161467e-09
1.949844599758032e+01	3.125278e-09
1.995262314968866e+01	3.089503e-09
2.041737944669515e+01	3.054138e-09
2.089296130854025e+01	3.019177e-09
2.137962089502217e+01	2.984617e-09
2.187761623949537e+01	2.950453e-09
2.238721138568324e+01	2.916679e-09
2.290867652767757e+01	2.883292e-09
2.344228815319906e+01	2.850287e-09
2.398832919019474e+01	2.817660e-09
2.454708915685013e+01	2.785407e-09
2.511886431509562e+01	2.753523e-09
2.570395782768846e+01	2.722003e-09
2.630267991895363e+01	2.690845e-09
2.691534803926897e+01	2.660043e-09
2.754228703338147e+01	2.629594e-09
2.818382931264434e+01	2.599493e-09
2.884031503126585e+01	2.569737e-09
2.951209226666364e+01	2.540321e-09
3.019951720401994e+01	2.511242e-09
3.090295432513568e+01	2.482496e-09
3.162277660168356e+01	2.454080e-09
3.235936569296258e+01	2.425988e-09
3.311311214825886e+01	2.398218e-09
3.388441561392000e+01	2.370766e-09
3.467368504525290e+01	2.343628e-09
3.548133892335728e+01	2.316801e-09
3.630780547700986e+01	2.290280e-09
3.715352290971697e+01	2.264064e-09
3.801893963205583e+01	2.238147e-09
3.890451449942775e+01	2.212527e-09
3.981071705534941e+01	2.187201e-09
4.073802778041095e+01	2.162164e-09
4.168693834703321e+01	2.137414e-09
4.265795188015893e+01	2.112947e-09
4.365158322401625e+01	2.088760e-09
4.466835921509595e+01	2.064851e-09
4.570881896148713e+01	2.041215e-09
4.677351412871944e+01	2.017849e-09
4.786300923226344e+01	1.994751e-09
4.897788193684422e+01	1.971917e-09
5.011872336272682e+01	1.949345e-09
5.128613839913606e+01	1.927031e-09
5.248074602497682e+01	1.904972e-09
5.370317963702482e+01	1.883166e-09
5.495408738576199e+01	1.861610e-09
5.623413251903443e+01	1.840300e-09
5.754399373371520e+01	1.819234e-09
5.888436553555839e+01	1.798410e-09
6.025595860743526e+01	1.777823e-09
6.165950018614769e+01	1.757473e-09
6.309573444801878e+01	1.737355e-09
6.456542290346499e+01	1.717468e-09
6.606934480075903e+01	1.697808e-09
6.760829753919759e+01	1.678374e-09
6.918309709189305e+01	1.659161e-09
7.079457843841317e+01	1.640169e-09
7.244359600749837e+01	1.621394e-09
7.413102413009111e+01	1.602834e-09
7.585775750291771e+01	1.584487e-09
7.762471166286849e+01	1.566349e-09
7.943282347242744e+01	1.548420e-09
8.128305161640920e+01	1.530695e-09
8.317637711026636e+01	1.513173e-09
8.511380382023688e+01	1.495852e-09
8.709635899560728e+01	1.478729e-09
8.912509381337374e+01	1.461802e-09
9.120108393559013e+01	1.445069e-09
9.332543007969824e+01	1.428528e-09
9.549925860214270e+01	1.412175e-09
9.772372209558016e+01	1.396010e-09
9.999999999999906e+01	1.380030e-09
1.023292992280744e+02	1.364233e-09
1.047128548050890e+02	1.348617e-09
1.071519305237596e+02	1.333180e-09
1.096478196143175e+02	1.317919e-09
1.122018454301953e+02	1.302833e-09
1.148153621496872e+02	1.287919e-09
1.174897554939518e+02	1.273177e-09
1.202264434617401e+02	1.258603e-09
1.230268770812370e+02	1.244196e-09
1.258925411794155e+02	1.229953e-09
1.288249551693121e+02	1.215874e-09
1.318256738556394e+02	1.201956e-09
1.348962882591640e+02	1.188198e-09
1.380384264602871e+02	1.174596e-09
1.412537544622740e+02	1.161151e-09
1.445439770745913e+02	1.147859e-09
1.479108388168193e+02	1.134720e-09
1.513561248436193e+02	1.121731e-09
1.548816618912466e+02	1.108890e-09
1.584893192461097e+02	1.096197e-09
1.621810097358913e+02	1.083649e-09
1.659586907437543e+02	1.071245e-09
1.698243652461726e+02	1.058982e-09
1.737800828749357e+02	1.046860e-09
1.778279410038904e+02	1.034877e-09
1.819700858609964e+02	1.023031e-09
1.862087136662848e+02	1.011320e-09
1.905460717963227e+02	9.997436e-10
1.949844599758025e+02	9.882997e-10
1.995262314968859e+02	9.769867e-10
2.041737944669508e+02	9.658032e-10
2.089296130854017e+02	9.547477e-10
2.137962089502209e+02	9.438188e-10
2.187761623949529e+02	9.330150e-10
2.238721138568316e+02	9.223349e-10
2.290867652767749e+02	9.117770e-10
2.344228815319897e+02	9.013400e-10
2.398832919019465e+02	8.910224e-10
2.454708915685004e+02	8.808230e-10
2.511886431509553e+02	8.707403e-10
2.570395782768836e+02	8.607730e-10
2.630267991895354e+02	8.509198e-10
2.691534803926887e+02	8.411794e-10
2.754228703338136e+02	8.315505e-10
2.818382931264423e+02	8.220318e-10
2.884031503126574e+02	8.126221e-10
2.951209226666354e+02	8.033201e-10
3.019951720401983e+02	7.941246e-10
3.090295432513557e+02	7.850343e-10
3.162277660168345e+02	7.760481e-10
3.235936569296247e+02	7.671647e-10
3.311311214825874e+02	7.583831e-10
3.388441561391988e+02	7.497020e-10
3.467368504525278e+02	7.411202e-10
3.548133892335715e+02	7.326366e-10
3.630780547700973e+02	7.242502e-10
3.715352290971684e+02	7.159598e-10
3.801893963205569e+02	7.077643e-10
3.890451449942762e+02	6.996626e-10
3.981071705534927e+02	6.916536e-10
4.073802778041081e+02	6.837363e-10
4.168693834703306e+02	6.759096e-10
4.265795188015877e+02	6.681726e-10
4.365158322401609e+02	6.605240e-10
4.466835921509579e+02	6.529631e-10
4.570881896148697e+02	6.454887e-10
4.677351412871927e+02	6.380999e-10
4.786300923226327e+02	6.307956e-10
4.897788193684405e+02	6.235749e-10
5.011872336272664e+02	6.164369e-10
5.128613839913588e+02	6.093806e-10
5.248074602497665e+02	6.024051e-10
5.370317963702464e+02	5.955094e-10
5.495408738576181e+02	5.886927e-10
5.623413251903424e+02	5.819540e-10
5.754399373371501e+02	5.752924e-10
5.888436553555820e+02	5.687071e-10
6.025595860743506e+02	5.621971e-10
6.165950018614748e+02	5.557617e-10
6.309573444801856e+02	5.494000e-10
6.456542290346476e+02	5.431111e-10
6.606934480075879e+02	5.368941e-10
6.760829753919735e+02	5.307483e-10
6.918309709189280e+02	5.246729e-10
7.079457843841292e+02	5.186670e-10
7.244359600749812e+02	5.127299e-10
7.413102413009084e+02	5.068607e-10
7.585775750291745e+02	5.010588e-10
7.762471166286822e+02	4.953232e-10
7.943282347242717e+02	4.896533e-10
8.128305161640892e+02	4.840482e-10
8.317637711026607e+02	4.785074e-10
8.511380382023659e+02	4.730299e-10
8.709635899560698e+02	4.676152e-10
8.912509381337344e+02	4.622625e-10
9.120108393558983e+02	4.569710e-10
9.332543007969792e+02	4.517401e-10
9.549925860214238e+02	4.465691e-10
9.772372209557982e+02	4.414572e-10
9.999999999999872e+02	4.364039e-10
1.023292992280741e+03	4.314084e-10
1.047128548050886e+03	4.264701e-10
1.071519305237592e+03	4.215884e-10
1.096478196143171e+03	4.167625e-10
1.122018454301949e+03	4.119919e-10
1.148153621496868e+03	4.072758e-10
1.174897554939514e+03	4.026138e-10
1.202264434617397e+03	3.980051e-10
1.230268770812365e+03	3.934492e-10
1.258925411794150e+03	3.889454e-10
1.288249551693117e+03	3.844932e-10
1.318256738556389e+03	3.800919e-10
1.348962882591635e+03	3.757410e-10
1.380384264602866e+03	3.714400e-10
1.412537544622735e+03	3.671881e-10
1.445439770745908e+03	3.629850e-10
1.479108388168187e+03	3.588299e-10
1.513561248436187e+03	3.547224e-10
1.548816618912460e+03	3.506619e-10
1.584893192461092e+03	3.466480e-10
1.621810097358908e+03	3.426799e-10
1.659586907437538e+03	3.387573e-10
1.698243652461721e+03	3.348796e-10
1.737800828749352e+03	3.310462e-10
1.778279410038899e+03	3.272568e-10
1.819700858609958e+03	3.235107e-10
1.862087136662842e+03	3.198075e-10
1.905460717963221e+03	3.161467e-10
1.949844599758018e+03	3.125278e-10
1.995262314968852e+03	3.089503e-10
2.041737944669501e+03	3.054138e-10
2.089296130854011e+03	3.019177e-10
2.137962089502203e+03	2.984617e-10
2.187761623949522e+03	2.950453e-10
2.238721138568309e+03	2.916679e-10
2.290867652767741e+03	2.883292e-10
2.344228815319890e+03	2.850287e-10
2.398832919019457e+03	2.817660e-10
2.454708915684996e+03	2.785407e-10
2.511886431509545e+03	2.753522e-10
2.570395782768828e+03	2.722003e-10
2.630267991895345e+03	2.690845e-10
2.691534803926878e+03	2.660043e-10
2.754228703338128e+03	2.629593e-10
2.818382931264414e+03	2.599493e-10
2.884031503126565e+03	2.569737e-10
2.951209226666344e+03	2.540321e-10
3.019951720401973e+03	2.511242e-10
3.090295432513546e+03	2.482496e-10
3.162277660168334e+03	2.454079e-10
3.235936569296236e+03	2.425988e-10
3.311311214825863e+03	2.398218e-10
3.388441561391976e+03	2.370766e-10
3.467368504525266e+03	2.343628e-10
3.548133892335703e+03	2.316801e-10
3.630780547700960e+03	2.290280e-10
3.715352290971671e+03	2.264064e-10
3.801893963205556e+03	2.238147e-10
3.890451449942748e+03	2.212527e-10
3.981071705534913e+03	2.187201e-10
4.073802778041067e+03	2.162164e-10
4.168693834703292e+03	2.137414e-10
4.265795188015863e+03	2.112947e-10
4.365158322401594e+03	2.088760e-10
4.466835921509563e+03	2.064851e-10
4.570881896148680e+03	2.041214e-10
4.677351412871911e+03	2.017849e-10
4.786300923226310e+03	1.994751e-10
4.897788193684387e+03	1.971917e-10
5.011872336272646e+03	1.949345e-10
5.128613839913570e+03	1.927031e-10
5.248074602497645e+03	1.904972e-10
5.370317963702444e+03	1.883166e-10
5.495408738576160e+03	1.861610e-10
5.623413251903404e+03	1.840300e-10
5.754399373371480e+03	1.819234e-10
5.888436553555798e+03	1.798410e-10
6.025595860743483e+03	1.777823e-10
6.165950018614725e+03	1.757473e-10
6.309573444801834e+03	1.737355e-10
6.456542290346454e+03	1.717468e-10
6.606934480075856e+03	1.697808e-10
6.760829753919711e+03	1.678374e-10
6.918309709189256e+03	1.659161e-10
7.079457843841267e+03	1.640169e-10
7.244359600749786e+03	1.621394e-10
7.413102413009058e+03	1.602834e-10
7.585775750291717e+03	1.584487e-10
7.762471166286794e+03	1.566349e-10
7.943282347242689e+03	1.548419e-10
8.128305161640863e+03	1.530695e-10
8.317637711026577e+03	1.513173e-10
8.511380382023628e+03	1.495852e-10
8.709635899560666e+03	1.478729e-10
8.912509381337311e+03	1.461802e-10
9.120108393558950e+03	1.445069e-10
9.332543007969760e+03	1.428528e-10
9.549925860214205e+03	1.412175e-10
9.772372209557949e+03	1.396010e-10
1.000000000000000e+04	1.380030e-10
